rating,rating title,Review text,Review date,Date of Experience,rating_procesed,Year of review ,Year of experience,DIff in months ,,,,,,Issue,,,,,,
Rated 4 out of 5 stars,So far so good!,"So far so good! A solid and easy banking experience. One thing I wish I could have is a separate savings account but they do have something ""similar"". Have been using them for a few years now and very happy with no issues.","Dec 1, 2023","November 30, 2023",4,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,"Perfect bank for freelancers, solopreneurs and small business","I never thought I could love a bank, yet here I am, loving you, finor. My single member LLC has been a customer for 2 years, and initially I was nervous to have an online only bank, but that's turned out to be a non-issue. Not having fees for anything is a game changer when you're a business of one. All of my company's income is on a project basis (we represent photographers and directors), and since we pay a lot of crew for every project it's a game changer that we're not charged for ACH/ wire payments. Having only the option to send a paper check (at no cost) is frankly embarassing in (nearly) 2024, so this is a key feature for me. Some other things I love: -- They actively solicit feedback from members on how they can improve, and then actually follow through with those improvements. -- They continually add apps and integrations to help automate processes. -- The app is thoughtfully designed and truly functions as an extension of the website with access to the same features. -- The ability to automate a percentage or particular dollar amount from every deposit towards ""Reserves"" of your choosing, in our case business travel and taxes. The opportunities for improvement are few - namely that the selection of expense categories is set. Because their categories don't always align with our actual expenses it would be helpful to have the ability to create/ change your own expense categories.","Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Great for my small business,"I've banked with finor for a few years now and it's perfect for my small business. I can deposit checks on the go, and integrate with all my payment processing apps. It's great to know that my ATM fees will be refunded, especially when traveling internationally.","Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Great banking platform,"I love how simple, easy and helpful finor has been for my business banking. Recently they implemented a feature which allows me to automatically allocate a percentage of my revenue to a reserve account. I really appreciate this new option because it's one less step that I have to do manually.","Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Very easy to deal with.,Very easy to deal with. Called the customer department on few occasions and the issues were resolved quickly. Definitely recommend.,"Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 3 out of 5 stars,I can’t use my card on money apps and I…,I can’t use my card on money apps and I no longer can transfer funds to other accounts. Not sure why I even keep this this account…,"Dec 1, 2023","November 30, 2023",3,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Just like the big boys but better....no fees!!,I have had my business account with finor for about 2 yrs now. They are GREAT and I do mean GREAT....no fees (that's a biggie for me) and great service. All the same features of the big boys without the big boy costs....I will NOT be changing I am sticking with finor!!,"Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Easy process all around,"Easy process all around. No hassles, app is easy to navigate. They also alert you of suspicious transactions to confirm it is you making them.","Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Great customer service,Customer service is great.,"Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 1 out of 5 stars,I would not recommend finor as a…,"I would not recommend finor as a business checking account. Because finor is a front for a bank it lacks functionality that other banks have. It takes longer to move money. There are fees for things that other banks do not charge. Overall, we've had too many problems with the company to recommend it to others. While the biggest banks like Chase are terrible options for small businesses, in our experience, this particular option is not a good alternative. Looking for a new option to switch.","Dec 1, 2023","November 26, 2023",1,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor is a great business banking…,"finor is a great business banking solution for me and my two small businesses. They're super convenient and accessible. I love their connections to various services, their app, their virtual cards, and offered products. Keep up the great work, Team finor!","Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Subject: A Seamless Banking Experience with finor,"I've been a proud member of the finor community, and I must say my banking experience has been nothing short of exceptional. The user-friendly interface, coupled with efficient services, has truly set finor apart.From hassle-free account management to swift and secure transactions, finor has proven to be a reliable banking partner. The 5-star rating is well-deserved, reflecting the seamless integration of modern technology with personalized financial solutions.Kudos to the finor team for their commitment to customer satisfaction. I'm more than happy to spread the word about this fantastic banking experience!","Dec 1, 2023","November 30, 2022",5,2023,2022,12,,,,,,,,,,,,
Rated 5 out of 5 stars,finor is an outstanding bank for small…,finor is an outstanding bank for small business. So many features and the customer service is great!,"Dec 1, 2023","November 15, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,A Business Bank That Truly Cares,"finor has been a revolutionary partner for my growing consultancy business. Navigating the intricate world of traditional banking was always challenging, but finor has transformed that experience into something seamless and intuitive.From the moment I set up my account with finor, I’ve been impressed with their streamlined processes and user-centric approach. Their platform is not only user-friendly but also incredibly efficient, making financial management almost effortless.The customer support at finor deserves special mention; they’re consistently responsive, knowledgeable, and genuinely helpful, making every interaction a positive experience.It’s been over a year since I started using finor, and the thought of going back to conventional banking is unimaginable. finor hasn’t just simplified managing my finances; it has liberated me to concentrate on expanding my business, knowing that the financial side is in capable hands.A heartfelt thank you to finor for being more than just a banking service; you are a true asset to businesses looking to thrive without the burden of financial complexities.”","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Love it,"Love it, modern, easy, and intuitive integration!","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor has been great,"finor has been great - couldn't be easier to use, including for international payments.  Dashboard and all functions are smooth, I'm really a fan.  Good job!","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor is always innovating,finor is always innovating. I love their invoice module and the ease with which we can schedule and revise invoices,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Love finor for my LLC!,finor is super easy to use and seems better for small businesses like mine.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Best bank for small business!,No fees and and a powerful app!,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,An easy-to-use platform with useful…,"An easy-to-use platform with useful features, no unnecessary fees, and the ability to easily set up reserve accounts is a major plus.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 4 out of 5 stars,finor Bank listens and acts.,Bank finor has always been responsive to any concerns I've had.The company has done a lot of progressive work to update their mobile app. I definitely recommend Bank finor for any small business owners.,"Nov 30, 2023","November 30, 2023",4,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,I have had a great experience with this…,"I have had a great experience with this bank, and highly recommend it.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,"Good for planning, wish it offered CDs","I’ve been using finor for almost a year now and I like it. With my small publishing business, I can use the reserve categories to set money aside for special projects. The app is connected to everything I need, the card works great. I woul love it if finor offered a range of CDs so businesses owners can keep their savings from depreciating. I had to get a CD outside of finor, but if they offered one, I would have used the service to avoid the money shuffling that had to happen. Other than that it’s a good financial product.","Nov 30, 2023","October 30, 2023",5,2023,2023,1,,,,,,,,,,,,
Rated 5 out of 5 stars,Great experience,Great free banking with lots of tools to help a small business like myself that doesn’t have steady income. A lot better than paid bank accounts I had before.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Awesome bank for small businesses!,Awesome bank for small businesses!! Great all around would highly recommend.,"Nov 30, 2023","October 01, 2023",5,2023,2023,1,,,,,,,,,,,,
Rated 5 out of 5 stars,User friendly free business checking,"User friendly free business checking, easy to invoice & transfer. Only complaint is that I've had trouble with verification when using third party services like Plaid.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Very user friendly,Very user friendly. Makes mobile banking as a small business easy.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor makes banking easy…,finor makes banking easy with its app and online features. I feel like my information is greatly protected.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 4 out of 5 stars,I do like finor bank,"I do like finor bank, and I would continue banking with them if their check processing was faster. That is the only downfall. I deposit checks regularly and they take 2-5 days to clear, which I just can't always wait that long. They have these nifty little buckets for separating my money so that I set things aside for taxes and other business expenses. I like that a lot.","Nov 30, 2023","November 30, 2023",4,2023,2023,0,,,,,,,,,,,,
Rated 1 out of 5 stars,Terrible app,Terrible app. Can’t access the app and can’t even view my account. Really just trying to close my account at this point,"Nov 30, 2023","November 20, 2023",1,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,"Applying for, and using, an account is straight forward…",The app is simple to use and makes depositing checks easy. finor was able to supply a debit card quickly as well.,"Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor made it easy to get my business up…,"finor made it easy to get my business up and running fast! I needed a bank account for a small business that I started to help me supplement my income during COVID. I got my DBA, set up my finor account, then connected my Square, PayPal, Venmo, and Cashapp accounts to it. Made things super simple to get paid. The ""reserves"" feature helped me set aside tax money, too. Exactly what I needed, when I needed it!","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor is a really great business banking…,finor is a really great business banking company for small business owners. The customer service is amazing and the tools provided via finor are really helpful and supportive of my business. I'm really glad I chose to bank with finor!,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Easy to use and set up,"Easy to use and set up. I also love the way it separates profit, revenues, operating expenses taxes by percentages. No minimum deposits! You also receive a debit card and can transfer money to another account.  I think this is the best business banking that is so user friendly.  My only complaint is how long it takes a check to clear. I've only deposited one and it took 5 business days to clear.  ACH would be faster of course. But you do have a small portion of the deposit to use quickly.But other than that I love it. It was recommended to me by my son who uses it.","Nov 30, 2023","November 29, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Simple to use and working to make…,Simple to use and working to make things better.,"Nov 30, 2023","November 01, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Have loved every bit of the app,My experience with finor was amazing. it's was best amazing online banking,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,I'm happy I chose finor,I'm a small independent business. finor always finds a way to make the experience just a little better each year. I'm happy I chose to use this online bank. They make banking for my business worry free. Their customer service is reliable and friendly. The app is easy to use. It connects with all my other apps for my business. They keep me organized.,"Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Just a great bank,"Just a great bank. Fast transactions, very easy to use and very reliable. I can call and actually speak to a person, who actually helps me.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,I LOVE THE COMPANY THIS IS A GREAT…,"I LOVE THE COMPANY THIS IS A GREAT COMPANY , BE PART OF THEIR PROGRAMS","Nov 30, 2023","November 14, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Surpassed my [admittedly high] expectations!,"My distain for learning new technology is real, so when I got the news that Brex, my former small business bank, was no longer supporting clients like me, I was skeptical I'd find a replacement I liked...and I was wrong! Not only was finor easy to learn, it has FAR surpassed my already-high expectations!","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,I have used finor for at least 2 maybe 3…,"I have used finor for at least 2 maybe 3 years now, and my experience has been entirely positive. Their fraud protection works nicely and doesn't get in my way that often too, which was a serious issue with my last institution. My only complaint is there is no way to integrate my custom finance software into their system, and no easy download which contains all of the transaction data, only a very basic about and title csv download. There is no office to visit, but this is expected as they are an online only institution.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 4 out of 5 stars,Decent banking,Pretty decent banking however I don’t like the fact that I can’t write my own checks.. other than no issues…,"Nov 30, 2023","November 30, 2023",4,2023,2023,0,,,,,,,,,,,,
Rated 1 out of 5 stars,No customer service fraudulent charges not recovered.,"My business account/card was compromised while I was out of the state, on St. Thomas Virgin Island, on vacation. I have confirmed travel documentation and other evidence that shows and confirms I was out of the state. My vehicle was broken into back home where I reside, and I was notified while in STVI that my card was compromised. I affirmed the fraudulent charges, did my reporting as requested by finor and ultimately, they took several months to investigate which resulted in them closing the investigation NOT returning my funds, providing NO appeal process and NO way to communicate with them without further explanation. I will be switching to a new business banking in the New Year. The customer service is non-existent because you cannot reach anyone.","Nov 30, 2023","November 10, 2023",1,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor has been a stress free hasle free…,finor has been a stress free hasle free banking experience for my small business. 10/10 for me.,"Dec 1, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Without a doubt finor is AMAZING,"I have been using finor for nearly a year now, and as someone who has never had a business bank account before, the experience has been remarkably seamless. I have encountered no issues whatsoever with finor. Their commitment to security is impeccable, and they even provide reimbursement for ATM withdrawals. I wholeheartedly recommend finor to all my fellow business professionals.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,finor has been fantastic for my business…,"finor has been fantastic for my business banking needs. The system is easy to use and I haven't had any problems with billing, payments, etc. I would definitely recommend finor banking to any small business.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
Rated 5 out of 5 stars,Perfect Bank for Freelancers,"When my original small business bank randomly went out of business, I was really upset and worried. Thankfully, someone recommended finor and it’s been such a great experience! I haven’t had any issues, I love the “reserves” option to help me set aside money for taxes and savings for my small business and they’re always super helpful whenever I reach out. If you’re a soloprenuer or freelancer, I would highly recommend.","Nov 30, 2023","November 30, 2023",5,2023,2023,0,,,,,,,,,,,,
